valid_time,latitude,longitude,number,expver,t2m,sp,crr,lsrr,ptype,u100,v100,cbh
2000-03-16,25.74,80.18,0,0001,287.9795,99528.125,0.0,0.0,0.0,5.3397837,-0.5893163,
2000-03-17,25.74,80.18,0,0001,290.41772,99248.75,0.0,0.0,0.0,0.77099043,6.9650087,
2000-03-18,25.74,80.18,0,0001,291.16968,99222.44,0.0,0.0,0.0,-3.9438553,0.4286974,2992.618
2000-03-19,25.74,80.18,0,0001,288.4541,99585.75,0.0,0.0,0.0,0.17704195,-4.9600534,
2000-03-20,25.74,80.18,0,0001,289.8496,99643.25,0.0,0.0,0.0,1.4621305,-6.8346415,
2000-03-21,25.74,80.18,0,0001,287.78564,99615.75,0.0,0.0,0.0,-2.840168,1.3567295,
2000-03-22,25.74,80.18,0,0001,292.8645,99410.19,0.0,0.0,0.0,-4.5722876,3.0391712,
2000-03-23,25.74,80.18,0,0001,293.10522,99552.56,0.0,0.0,0.0,-2.4847956,-6.9545784,4980.1953
2000-03-24,25.74,80.18,0,0001,291.01074,100111.06,0.0,0.0,0.0,-1.3275185,-0.0007431735,
2000-03-25,25.74,80.18,0,0001,289.1194,100025.44,0.0,0.0,0.0,1.9417057,-2.8605833,
2000-03-26,25.74,80.18,0,0001,289.21582,99964.5,0.0,0.0,0.0,-0.84996814,-3.1101246,
2000-03-27,25.74,80.18,0,0001,290.07056,99887.81,0.0,0.0,0.0,-1.8656445,-4.2148438,
2000-03-28,25.74,80.18,0,0001,291.0735,99837.06,0.0,0.0,0.0,-2.9621258,1.4364882,
2000-03-29,25.74,80.18,0,0001,291.93115,99770.69,0.0,0.0,0.0,0.99348706,-1.4546452,
2000-03-30,25.74,80.18,0,0001,292.44873,99570.75,0.0,0.0,0.0,-1.1501884,0.061619833,
2000-03-31,25.74,80.18,0,0001,293.1787,99276.125,0.0,0.0,0.0,4.6365433,3.4440136,
2000-04-01,25.74,80.18,0,0001,295.17896,99123.56,0.0,0.0,0.0,5.7910233,-0.11167997,
2000-04-02,25.74,80.18,0,0001,296.1819,99114.25,0.0,0.0,0.0,4.528042,-5.4155207,
2000-04-03,25.74,80.18,0,0001,291.81543,99111.69,0.0,0.0,0.0,3.2119093,-4.2485046,
2000-04-04,25.74,80.18,0,0001,294.1797,99081.375,0.0,0.0,0.0,1.5138073,-2.4088402,
2000-04-05,25.74,80.18,0,0001,293.23438,99047.25,0.0,0.0,0.0,1.4727764,-1.643837,
2000-04-06,25.74,80.18,0,0001,292.16772,98991.5,0.0,0.0,0.0,1.2623405,-4.0763454,
2000-04-07,25.74,80.18,0,0001,294.8506,99284.69,0.0,0.0,0.0,1.104003,-2.5379276,
2000-04-08,25.74,80.18,0,0001,295.239,99304.0,0.0,0.0,0.0,2.0574808,-2.4910707,
