valid_time,latitude,longitude,number,expver,t2m,sp,lsrr,ptype,u100,v100,cbh
1980-03-25,25.74,80.18,0,0001,294.12964,99612.375,0.0,0.0,-1.5819683,-3.7896013,
1980-03-26,25.74,80.18,0,0001,295.44775,99545.0,0.0,0.0,-2.3525553,-4.529772,3970.0063
1980-03-27,25.74,80.18,0,0001,292.7959,99978.5,0.0,0.0,-0.24375957,-5.053442,
1980-03-28,25.74,80.18,0,0001,291.9458,99744.44,0.0,0.0,0.0075838305,-5.1749916,
1980-03-29,25.74,80.18,0,0001,296.04175,99471.125,0.0,0.0,-3.4658556,3.782073,3270.7327
1980-03-30,25.74,80.18,0,0001,293.20776,99452.44,0.0,0.0,-5.399061,-1.6677237,4856.6953
1980-03-31,25.74,80.18,0,0001,293.68115,99585.75,0.0,0.0,-1.1400499,-1.3636789,
1980-04-01,25.74,80.18,0,0001,294.9043,99937.81,0.0,0.0,-3.2250862,0.3887753,
1980-04-02,25.74,80.18,0,0001,292.82324,99716.56,0.0,0.0,0.33123147,-3.4500656,
1980-04-03,25.74,80.18,0,0001,295.0244,99330.125,0.0,0.0,-1.3331308,5.072795,
1980-04-04,25.74,80.18,0,0001,295.72803,99336.75,0.0,0.0,-4.268894,-4.9481506,
1980-04-05,25.74,80.18,0,0001,292.66895,99506.375,0.0,0.0,-0.49258995,-4.470545,
1980-04-06,25.74,80.18,0,0001,295.73828,99666.56,0.0,0.0,-0.640044,0.5959721,
1980-04-07,25.74,80.18,0,0001,293.20093,99505.125,0.0,0.0,2.6155195,-0.6805309,
1980-04-08,25.74,80.18,0,0001,297.344,99200.81,0.0,0.0,-0.46104342,-1.4643955,
1980-04-09,25.74,80.18,0,0001,297.45557,99123.25,0.0,0.0,1.4696369,-1.5176163,
1980-04-10,25.74,80.18,0,0001,296.1919,98898.31,0.0,0.0,1.8485994,-1.0246439,
1980-04-11,25.74,80.18,0,0001,294.89355,98769.0,0.0,0.0,1.0961771,-0.21482605,
1980-04-12,25.74,80.18,0,0001,297.52148,98820.56,0.0,0.0,5.315854,1.9341078,
1980-04-13,25.74,80.18,0,0001,298.31836,98919.375,0.0,0.0,-0.018944316,-4.96636,
1980-04-14,25.74,80.18,0,0001,297.75806,99247.5,0.0,0.0,3.4626389,-4.6554585,
1980-04-15,25.74,80.18,0,0001,299.13843,99114.875,0.0,0.0,-1.3960171,-2.7827692,
1980-04-16,25.74,80.18,0,0001,299.29297,99162.94,0.0,0.0,-0.5984702,-2.7993383,4383.4805
1980-04-17,25.74,80.18,0,0001,297.18628,99191.0,0.0,0.0,3.5951252,-1.05371,4809.3984
1980-04-18,25.74,80.18,0,0001,296.8733,99069.56,0.0,0.0,4.4934807,-2.0879974,
1980-04-19,25.74,80.18,0,0001,297.99268,99129.94,0.0,0.0,2.6153545,-2.992093,
1980-04-20,25.74,80.18,0,0001,299.69604,99200.94,0.0,0.0,4.7625504,-4.430457,
1980-04-21,25.74,80.18,0,0001,298.90356,99204.75,0.0,0.0,2.8344145,-4.1590567,
1980-04-22,25.74,80.18,0,0001,299.95142,99000.31,0.0,0.0,1.2997103,0.38159895,6986.8438
1980-04-23,25.74,80.18,0,0001,300.94214,98803.69,0.0,0.0,7.57108,-2.211793,
1980-04-24,25.74,80.18,0,0001,299.5996,98855.625,0.0,0.0,7.69304,-3.2566147,
1980-04-25,25.74,80.18,0,0001,299.0625,98931.06,0.0,0.0,6.0832825,0.7372103,
1980-04-26,25.74,80.18,0,0001,298.7959,98969.0,0.0,0.0,4.17597,-2.9799852,
1980-04-27,25.74,80.18,0,0001,299.34766,99029.44,0.0,0.0,3.9014893,-0.16299945,
1980-04-28,25.74,80.18,0,0001,300.646,98966.31,0.0,0.0,6.758713,-0.04151501,
1980-04-29,25.74,80.18,0,0001,301.1333,99031.81,0.0,0.0,5.0246687,-3.9227676,
1980-04-30,25.74,80.18,0,0001,299.33203,98981.94,0.0,0.0,3.1697836,-2.5794601,
1980-05-01,25.74,80.18,0,0001,301.17334,99043.81,0.0,0.0,5.1243925,-2.951311,
1980-05-02,25.74,80.18,0,0001,301.24805,99078.0,0.0,0.0,2.6562395,-0.3602568,4585.047
1980-05-03,25.74,80.18,0,0001,299.85107,98861.31,0.0,0.0,3.0883684,2.193365,
1980-05-04,25.74,80.18,0,0001,299.9663,98759.25,0.0,0.0,-2.996954,1.7582626,
1980-05-05,25.74,80.18,0,0001,302.49707,98610.5,0.0,0.0,-0.5480228,3.5900793,
1980-05-06,25.74,80.18,0,0001,302.15674,98687.625,0.0,0.0,7.1211605,2.3823252,
1980-05-07,25.74,80.18,0,0001,303.4734,98759.69,0.0,0.0,4.895672,-2.5101528,
1980-05-08,25.74,80.18,0,0001,301.1787,98759.56,0.0,0.0,2.6072483,1.7845907,
1980-05-09,25.74,80.18,0,0001,301.0,98941.875,0.0,0.0,2.2158852,3.1646042,5591.422
1980-05-10,25.74,80.18,0,0001,301.8872,99023.44,0.0,0.0,4.0814943,-1.6900206,4335.7227
1980-05-11,25.74,80.18,0,0001,301.55908,98917.19,0.0,0.0,0.39029557,-1.4769974,4263.3203
1980-05-12,25.74,80.18,0,0001,299.94653,98777.56,0.0,0.0,-3.5138264,2.8916597,
1980-05-13,25.74,80.18,0,0001,301.5664,98794.31,0.0,0.0,-4.4292383,3.3348932,
1980-05-14,25.74,80.18,0,0001,300.292,98983.75,0.0,0.0,-1.3658276,1.8133879,
1980-05-15,25.74,80.18,0,0001,302.17554,98978.69,0.0,0.0,1.0498171,5.296999,
1980-05-16,25.74,80.18,0,0001,301.7705,98813.44,0.0,0.0,6.276623,-0.9084422,
1980-05-17,25.74,80.18,0,0001,300.9226,98625.625,0.0,0.0,4.1682863,0.30895287,
1980-05-18,25.74,80.18,0,0001,301.89746,98402.375,0.0,0.0,8.042428,2.4665823,
1980-05-19,25.74,80.18,0,0001,304.88965,98582.25,0.0,0.0,7.8331413,-2.6415691,4513.6406
1980-05-20,25.74,80.18,0,0001,304.11987,98742.81,0.0,0.0,3.617507,-4.6997986,3791.0881
1980-05-21,25.74,80.18,0,0001,302.93408,98726.44,0.0,0.0,0.19266802,-4.6260242,4427.6562
1980-05-22,25.74,80.18,0,0001,303.60352,98663.25,0.0,0.0,2.9864635,-4.50634,4335.539
1980-05-23,25.74,80.18,0,0001,300.89258,98625.0,0.0,0.0,3.2850971,-2.9372807,
1980-05-24,25.74,80.18,0,0001,303.2766,98472.375,0.0,0.0,6.310012,-0.5181937,4010.9705
1980-05-25,25.74,80.18,0,0001,304.1101,98522.81,0.0,0.0,6.401169,1.9407406,3776.8857
1980-05-26,25.74,80.18,0,0001,302.05933,98757.94,0.0,0.0,3.45409,2.3397293,
1980-05-27,25.74,80.18,0,0001,302.88574,98702.31,0.0,0.0,-6.351984,0.68559325,
1980-05-28,25.74,80.18,0,0001,303.16284,98533.69,0.0,0.0,-5.7715626,0.99599445,4169.078
1980-05-29,25.74,80.18,0,0001,302.26733,98578.31,0.0,0.0,-7.391427,-1.1215239,3761.2039
1980-05-30,25.74,80.18,0,0001,302.57642,98863.875,0.0,0.0,-7.1341066,0.8506147,3749.5603
1980-05-31,25.74,80.18,0,0001,304.5044,98763.5,0.0,0.0,-4.040551,2.9540482,2611.3923
1980-06-01,25.74,80.18,0,0001,304.3479,98750.44,0.0,0.0,-6.338252,1.0972347,4399.703
1980-06-02,25.74,80.18,0,0001,302.62744,98757.875,0.0,0.0,-5.6104374,-1.7995291,11642.531
1980-06-03,25.74,80.18,0,0001,302.44385,98889.81,0.0,0.0,-6.3838778,-1.9648848,971.5796
1980-06-04,25.74,80.18,0,0001,302.6482,98733.44,0.0,0.0,-4.4519997,-1.7437468,3185.907
1980-06-05,25.74,80.18,0,0001,301.94116,98497.875,0.0,0.0,-3.9954252,0.1810627,
1980-06-06,25.74,80.18,0,0001,305.93237,98473.94,0.0,0.0,2.6416368,3.1947165,4207.3438
1980-06-07,25.74,80.18,0,0001,299.97217,98633.56,0.0004466793,1.0,1.5855513,2.554161,3578.3389
1980-06-08,25.74,80.18,0,0001,297.427,98439.56,0.0017594707,1.0,-2.6676846,-4.1913614,437.9336
1980-06-09,25.74,80.18,0,0001,297.42627,98714.75,0.0,0.0,-1.4784107,-1.2764225,4216.465
1980-06-10,25.74,80.18,0,0001,299.5774,98650.94,0.0,0.0,-5.6329603,0.5779997,3729.8735
1980-06-11,25.74,80.18,0,0001,303.36084,98586.69,0.0,0.0,-5.453781,0.66933244,3094.0842
1980-06-12,25.74,80.18,0,0001,302.62476,98574.875,0.0,0.0,-5.270626,-0.36040682,4253.992
1980-06-13,25.74,80.18,0,0001,300.45728,98851.19,0.0,1.0,-6.3574257,-2.1340961,446.35815
1980-06-14,25.74,80.18,0,0001,301.33984,98772.81,0.0,0.0,-4.5031443,-1.8127861,8950.43
1980-06-15,25.74,80.18,0,0001,302.365,98606.31,0.0,0.0,-0.7262492,0.025930095,1929.3674
1980-06-16,25.74,80.18,0,0001,301.82153,98389.625,0.0,0.0,-0.97417456,0.641075,
1980-06-17,25.74,80.18,0,0001,303.24658,98406.375,0.0,0.0,-6.062935,2.741066,
1980-06-18,25.74,80.18,0,0001,303.5625,98460.125,0.0,0.0,-6.2233667,1.4535551,2697.1165
1980-06-19,25.74,80.18,0,0001,302.75146,98391.31,0.0,0.0,-6.257392,1.7422934,3684.0803
1980-06-20,25.74,80.18,0,0001,301.60425,98598.75,3.758014e-06,1.0,-7.049695,-2.047099,814.19556
1980-06-21,25.74,80.18,0,0001,298.70264,98454.125,8.221847e-05,1.0,-5.4106646,-3.285573,342.81152
1980-06-22,25.74,80.18,0,0001,300.7002,98401.875,4.7888946e-09,1.0,-8.107361,0.8826192,611.98804
1980-06-23,25.74,80.18,0,0001,300.59497,98635.0,1.4916896e-05,1.0,-4.723645,0.15781873,1115.4949
1980-06-24,25.74,80.18,0,0001,301.39868,98641.0,1.4301486e-06,1.0,-4.232912,-1.2364607,725.48364
1980-06-25,25.74,80.18,0,0001,301.22754,98591.06,9.120478e-06,1.0,1.6346807,-2.4474201,459.92285
1980-06-26,25.74,80.18,0,0001,300.56348,98444.69,3.4881e-05,1.0,2.549715,-3.450817,114.19766
1980-06-27,25.74,80.18,0,0001,299.43066,98424.75,2.5936897e-06,1.0,0.19685578,-4.4980955,132.80888
1980-06-28,25.74,80.18,0,0001,299.26416,98342.44,2.1275264e-05,1.0,2.2288332,-2.6858006,674.70874
1980-06-29,25.74,80.18,0,0001,299.5476,98239.31,2.6705152e-07,1.0,2.3737383,0.4452728,113.238495
1980-06-30,25.74,80.18,0,0001,300.1455,98197.25,2.8620713e-07,1.0,-0.15423143,-2.5321102,317.6211
1980-07-01,25.74,80.18,0,0001,301.67334,98298.69,0.0,0.0,0.47468394,-1.7832766,2062.5127
1980-07-02,25.74,80.18,0,0001,302.042,98289.375,5.2927373e-07,1.0,-5.629425,-0.6442295,476.22144
1980-07-03,25.74,80.18,0,0001,302.0276,98164.69,0.0,1.0,-7.174861,-1.5775833,696.58105
1980-07-04,25.74,80.18,0,0001,299.78223,98360.31,6.826789e-06,1.0,-3.5915537,0.72546494,786.0027
1980-07-05,25.74,80.18,0,0001,299.49902,98360.75,0.0004816379,1.0,5.1587353,1.8574142,332.1526
1980-07-06,25.74,80.18,0,0001,299.96313,98348.81,1.9633153e-05,1.0,5.254778,-0.18866962,643.38086
1980-07-07,25.74,80.18,0,0001,299.95532,98217.56,1.3403269e-06,1.0,4.461051,-3.1732702,199.53342
1980-07-08,25.74,80.18,0,0001,299.73438,98096.75,3.0567637e-05,1.0,4.9994955,1.415926,241.97287
1980-07-09,25.74,80.18,0,0001,298.54102,98313.5,0.00014152355,1.0,1.0119572,3.231576,553.02295
1980-07-10,25.74,80.18,0,0001,299.09912,98433.56,7.2742536e-05,1.0,2.7971163,2.1500835,470.03003
1980-07-11,25.74,80.18,0,0001,299.1792,98384.19,3.252052e-05,1.0,2.8749352,0.060651176,97.73067
1980-07-12,25.74,80.18,0,0001,299.82397,98517.625,2.9422808e-05,1.0,2.8999748,0.98100686,526.53687
1980-07-13,25.74,80.18,0,0001,299.07422,98669.875,2.3591128e-05,1.0,-0.13147652,0.24006605,696.3186
1980-07-14,25.74,80.18,0,0001,299.55493,98645.44,4.6867484e-05,1.0,3.4076786,0.07861537,675.24194
1980-07-15,25.74,80.18,0,0001,300.17188,98548.875,3.159925e-05,1.0,4.032118,0.9176109,1162.4856
1980-07-16,25.74,80.18,0,0001,299.31445,98611.0,0.000119675184,1.0,1.8111687,0.21815223,5187.3906
1980-07-17,25.74,80.18,0,0001,298.82446,98744.75,6.496061e-05,1.0,5.2988253,0.20089853,2158.0686
1980-07-18,25.74,80.18,0,0001,299.7495,98802.5,1.6274586e-05,1.0,6.7128067,2.9884958,1095.5591
1980-07-19,25.74,80.18,0,0001,298.6792,98570.56,0.00053042383,1.0,6.6126537,2.147049,1773.4111
1980-07-20,25.74,80.18,0,0001,299.92285,98569.5,0.0,0.0,6.467679,1.7934895,2179.7715
1980-07-21,25.74,80.18,0,0001,299.78076,98512.75,5.9795875e-06,1.0,5.655984,3.2512035,4978.8555
1980-07-22,25.74,80.18,0,0001,299.35303,98443.5,6.573368e-05,1.0,1.9384842,1.4174776,2315.1484
1980-07-23,25.74,80.18,0,0001,299.3545,98633.19,0.0,0.0,-3.5295982,-0.5269053,943.4761
1980-07-24,25.74,80.18,0,0001,299.8152,98698.94,1.6478385e-05,1.0,-0.021676581,-2.9126453,840.4509
1980-07-25,25.74,80.18,0,0001,300.72974,98514.44,9.417323e-07,1.0,-0.22103488,-2.6353264,988.30566
1980-07-26,25.74,80.18,0,0001,298.86572,98381.5,0.0,0.0,-2.396741,-0.79030776,532.9834
1980-07-27,25.74,80.18,0,0001,300.375,98497.625,2.4031597e-06,1.0,-2.6830645,-1.3738298,281.72046
1980-07-28,25.74,80.18,0,0001,299.87524,98463.56,4.4358676e-05,1.0,-2.4772272,-2.1102877,229.65198
1980-07-29,25.74,80.18,0,0001,299.66528,98610.44,2.0648149e-05,1.0,2.4584942,4.4948072,577.6582
1980-07-30,25.74,80.18,0,0001,300.68433,98710.75,0.0,0.0,-0.9885039,1.1269903,2506.6326
1980-07-31,25.74,80.18,0,0001,300.5686,98531.25,2.2348366e-05,1.0,2.2165356,-1.2918377,445.13477
1980-08-01,25.74,80.18,0,0001,299.90747,98394.0,2.4188223e-05,1.0,4.455805,1.2789354,162.92784
1980-08-02,25.74,80.18,0,0001,299.27466,98446.44,3.852311e-05,1.0,2.3811474,-0.3923769,552.6018
1980-08-03,25.74,80.18,0,0001,299.65527,98599.44,1.1014458e-07,1.0,-4.4235697,-1.9738159,260.12012
1980-08-04,25.74,80.18,0,0001,301.31934,98772.75,1.7641441e-06,1.0,-4.793047,0.3325699,623.86914
1980-08-05,25.74,80.18,0,0001,300.55908,98719.31,0.0,0.0,2.1446466,2.1357403,1131.9998
1980-08-06,25.74,80.18,0,0001,299.9922,98597.94,0.0,1.0,1.9163237,-1.9812622,97.39311
1980-08-07,25.74,80.18,0,0001,298.57666,98550.06,0.00016359882,1.0,5.4220476,1.2933216,107.22893
1980-08-08,25.74,80.18,0,0001,297.99805,98558.31,0.0010672591,1.0,9.467123,3.4562693,765.46265
1980-08-09,25.74,80.18,0,0001,298.8086,98618.94,4.1516963e-05,1.0,5.531213,-3.295495,703.6714
1980-08-10,25.74,80.18,0,0001,299.12402,98551.75,0.0002786885,1.0,6.426177,2.1141624,404.7268
1980-08-11,25.74,80.18,0,0001,298.82007,98379.875,0.0004883802,1.0,1.849966,-6.7937717,45.234512
1980-08-12,25.74,80.18,0,0001,298.4773,98499.81,0.00019313607,1.0,5.080496,-4.8212786,198.64365
1980-08-13,25.74,80.18,0,0001,298.10034,98664.625,0.00024928525,1.0,2.5167704,-3.6541433,208.97853
1980-08-14,25.74,80.18,0,0001,298.99292,98665.56,4.119285e-05,1.0,0.3538236,-2.3596392,89.06676
1980-08-15,25.74,80.18,0,0001,299.56055,98704.44,2.7775593e-07,1.0,0.9646263,-1.2476425,620.31226
1980-08-16,25.74,80.18,0,0001,298.74902,98754.81,0.0,1.0,-0.8167866,-1.6450653,1365.8845
1980-08-17,25.74,80.18,0,0001,299.8452,98702.44,1.1043459e-05,1.0,-0.43673176,-2.9033499,589.282
1980-08-18,25.74,80.18,0,0001,300.86377,98657.625,0.0,1.0,4.093053,-2.669878,2933.0942
1980-08-19,25.74,80.18,0,0001,300.3462,98776.69,0.0,0.0,3.7119007,-3.9002495,3405.424
1980-08-20,25.74,80.18,0,0001,301.03052,98856.5,0.0,0.0,1.1729546,-4.289607,
1980-08-21,25.74,80.18,0,0001,300.29956,98731.375,0.0,0.0,0.9792935,-2.16366,1151.1108
